phrase;pinyin;meaning;count;tokenization
Mayday！;Mayday！;Mayday!;0;Mayday ！
3Q！;3Q！;Thx!;0;3Q ！
100%。;100%。;One hundred percent.;0;100% 。
错。;cuò。;Wrong.;1;错 。
行。;xíng。;All right.;1;行 。
行。;xíng。;Okay.;1;行 。
行。;xíng。;OK.;1;行 。
行。;xíng。;Alright.;1;行 。
行。;xíng。;Ok.;1;行 。
滚。;gǔn。;Leave now.;1;滚 。
滚。;gǔn。;Get lost!;1;滚 。
哦。;ó。;Duh.;1;哦 。
请。;qǐng。;Please.;1;请 。
滚！;gǔn！;Get away!;1;滚 ！
滚！;gǔn！;Go away!;1;滚 ！
滚！;gǔn！;Fuck off!;1;滚 ！
滚！;gǔn！;Get lost!;1;滚 ！
滚！;gǔn！;Get the hell out of here!;1;滚 ！
嗨。;hāi。;Hi.;1;嗨 。
是Edward。;shì Edward。;This is Edward.;1;是 Edward 。
叫Ishmael。;jiào Ishmael。;Call Ishmael.;1;叫 Ishmael 。
读！;dú！;Read!;1;读 ！
操！;cāo！;Fuck!;1;操 ！
操！;cāo！;Oh shit!;1;操 ！
咦！？;yí！？;Huh?;1;咦 ！ ？
早！;zǎo！;Good morning!;1;早 ！
早！;zǎo！;Morning!;1;早 ！
说！;shuō！;Speak!;1;说 ！
对！;duì！;Yes!;1;对 ！
对！;duì！;That's right.;1;对 ！
不！;bù！;No!;1;不 ！
快！;kuài！;Quickly!;1;快 ！
多!;duō!;A lot!;1;多 !
靠！;kào！;Fuck!;1;靠 ！
好。;hǎo。;Good.;1;好 。
好。;hǎo。;Wilco.;1;好 。
不。;bù。;No.;1;不 。
火！;huǒ！;Fire!;1;火 ！
听！;tīng！;Listen!;1;听 ！
谁？;shuí？;Who?;1;谁 ？
喂。;wèi。;Speaking.;1;喂 。
喂。;wèi。;Hello!;1;喂 。
喂。;wèi。;Hello.;1;喂 。
喂。;wèi。;Hey!;1;喂 。
嗯..;ń..;Hmm.;1;嗯 ..
是。;shì。;Yes.;1;是 。
好;hǎo;Good.;1;好
啥？;shá？;Say what?;1;啥 ？
车！;chē！;Car!;1;车 ！
啊？;a？;Huh?;1;啊 ？
滚。;gǔn。;Get lost!;1;滚 。
滚。;gǔn。;Get lost.;1;滚 。
跳。;tiào。;Jump.;1;跳 。
跳！;tiào！;Jump!;1;跳 ！
射！;shè！;Shoot!;1;射 ！
躲！;duǒ！;Hide.;1;躲 ！
牛！;niú！;Hotshot!;1;牛 ！
牛！;niú！;Impressive!;1;牛 ！
痛！;tòng！;Ouch!;1;痛 ！
痛！;tòng！;Ow!;1;痛 ！
痛！;tòng！;It hurts!;1;痛 ！
嘘！;xū！;Hush!;1;嘘 ！
肏！;cào！;Fuck!;1;肏 ！
喵！;miāo！;Meow.;1;喵 ！
喵！;miāo！;Meow!;1;喵 ！
额...;é...;Er...;1;额 ...
推！;tuī！;Push!;1;推 ！
死！;sǐ！;Die!;1;死 ！
对。;duì。;Yes.;1;对 。
对。;duì。;Correct.;1;对 。
听！;tīng！;Hear!;1;听 ！
嗯？;ń？;Hm?;1;嗯 ？
好！;hǎo！;Good!;1;好 ！
好！;hǎo！;Nice!;1;好 ！
是！;shì！;Yes!;1;是 ！
哎！;āi！;Ah!;1;哎 ！
